CD_PREST,CD_PREST_VINC,CD_END,CD_END_VINC,ID_ORIGEM
1,164999999999,Comercial,Comercial,233013
2,164210004684,Comercial,Comercial,311459
1,16411000603,Comercial,Comercial,233245
1,164310005020,Comercial,Comercial,233509
1,164000164812,Comercial,Comercial,233871
2,164000164812,Residencial,Residencial,233872
1,164310005100,Comercial,Comercial,233579
2,164000501576,Comercial,Comercial,314746
4,164000501576,Residencial,Residencial,385552
1,16411000600,Comercial,Comercial,233501
1,164110006065,Comercial,Comercial,233501
1,164110006073,Comercial,Comercial,233501
1,164110006081,Comercial,Comercial,233501
1,164110006090,Comercial,Comercial,233501
1,164110006251,Comercial,Comercial,233501
1,16411000601,Comercial,Comercial,233502
1,164000052909,Comercial,Comercial,233757
2,164000052909,Residencial,Residencial,233758
1,164000055746,Comercial,Comercial,233761
2,164000055746,Residencial,Residencial,233762
1,164000058230,Comercial,Comercial,233763
2,164000058230,Residencial,Residencial,233764
2,164000065920,Comercial,Comercial,233768
3,164000065920,Residencial,Residencial,343688
1,164000076549,Comercial,Comercial,233773
3,164000076549,Residencial,Residencial,343441
1,164000084274,Comercial,Comercial,233778
2,164000084274,Residencial,Residencial,233779
1,164000090657,Comercial,Comercial,233782
2,164000090657,Residencial,Residencial,233783
1,164000094679,Comercial,Comercial,233786
2,164000094679,Residencial,Residencial,233787
1,164000099468,Comercial,Comercial,233793
3,164000099468,Residencial,Residencial,307941
1,164000105654,Comercial,Comercial,233797
3,164000105654,Residencial,Residencial,357924
1,164000105859,Comercial,Comercial,233801
3,164000105859,Residencial,Residencial,302161
1,164000107959,Comercial,Comercial,233803
2,164000107959,Residencial,Residencial,233804
2,164000108033,Comercial,Comercial,377596
3,164000108033,Residencial,Residencial,233805
1,164000151125,Comercial,Comercial,291239
2,164000151125,Residencial,Residencial,233807
1,164000109803,Comercial,Comercial,233808
2,164000109803,Residencial,Residencial,233809
1,164000113320,Residencial,Residencial,233810
2,164000113320,Comercial,Comercial,233811
3,164000113320,Comercial,Comercial,385328
1,164000114246,Comercial,Comercial,233812
2,164000114246,Residencial,Residencial,233813
1,164000115625,Comercial,Comercial,233814
2,164000115625,Residencial,Residencial,303452
1,164000118764,Comercial,Comercial,233815
2,164000118764,Residencial,Residencial,233816
1,164000122656,Comercial,Comercial,233817
2,164000122656,Residencial,Residencial,307916
1,164000123377,Comercial,Comercial,233819
3,164000123377,Residencial,Residencial,343702
1,164000124004,Comercial,Comercial,233821
2,164000124004,Residencial,Residencial,233822
1,164000124012,Comercial,Comercial,233823
2,164000124012,Residencial,Residencial,233824
1,164000129464,Residencial,Residencial,233825
3,164000129464,Comercial,Comercial,342331
1,164000130438,Comercial,Comercial,233827
2,164000130438,Residencial,Residencial,233828
1,164000146334,Comercial,Comercial,233837
2,164000146334,Residencial,Residencial,233838
2,164000151770,Residencial,Residencial,233844
3,164000151770,Comercial,Comercial,319526
1,164000156321,Comercial,Comercial,233851
2,164000156321,Residencial,Residencial,233852
2,164000157875,Residencial,Residencial,233858
3,164000157875,Comercial,Comercial,353285
1,164000158901,Comercial,Comercial,233859
2,164000158901,Residencial,Residencial,233860
1,164000158928,Comercial,Comercial,299940
2,164000158928,Residencial,Residencial,359389
1,164000162461,Comercial,Comercial,233865
2,164000162461,Residencial,Residencial,233866
1,164000162658,Comercial,Comercial,233867
2,164000162658,Residencial,Residencial,233868
1,164000164375,Comercial,Comercial,233869
2,164000164375,Residencial,Residencial,233870
1,164000171754,Comercial,Comercial,233875
4,164000171754,Residencial,Residencial,355683
1,164000180133,Comercial,Comercial,233877
2,164000180133,Residencial,Residencial,233878
1,164000180664,Comercial,Comercial,233879
2,164000180664,Residencial,Residencial,233880
2,164000183469,Residencial,Residencial,233882
4,164000183469,Comercial,Comercial,344832
1,164000187561,Comercial,Comercial,233883
4,164000187561,Residencial,Residencial,384815
1,164000188355,Comercial,Comercial,291241
2,164000188355,Residencial,Residencial,233885
1,164000190449,Comercial,Comercial,291242
2,164000190449,Residencial,Residencial,233888
1,164000195335,Comercial,Comercial,233890
2,164000195335,Residencial,Residencial,233891
1,164000199330,Comercial,Comercial,233893
2,164000199330,Residencial,Residencial,233894
2,164000200886,Residencial,Residencial,233896
3,164000200886,Comercial,Comercial,359351
2,164000209433,Residencial,Residencial,233900
4,164000209433,Comercial,Comercial,409013
1,164000211357,Comercial,Comercial,233903
3,164000211357,Residencial,Residencial,401729
2,164000211365,Residencial,Residencial,233906
3,164000211365,Comercial,Comercial,389807
1,164000211373,Comercial,Comercial,233907
3,164000211373,Residencial,Residencial,385446
1,164000215697,Comercial,Comercial,233909
2,164000215697,Residencial,Residencial,233910
2,164000216790,Residencial,Residencial,233914
3,164000216790,Comercial,Comercial,302956
1,164000220054,Comercial,Comercial,233915
2,164000220054,Residencial,Residencial,233916
1,164000222278,Comercial,Comercial,233921
2,164000222278,Residencial,Residencial,233922
1,164000230378,Comercial,Comercial,233930
2,164000230378,Residencial,Residencial,233931
1,164000239391,Comercial,Comercial,233936
2,164000239391,Residencial,Residencial,233937
2,164000239723,Residencial,Residencial,302868
5,164000239723,Comercial,Comercial,390032
1,164000244018,Comercial,Comercial,233941
3,164000244018,Residencial,Residencial,343738
1,164000251766,Comercial,Comercial,288672
3,164000251766,Residencial,Residencial,343726
1,164000253050,Comercial,Comercial,233946
2,164000253050,Residencial,Residencial,307947
1,164000256806,Comercial,Comercial,233950
3,164000256806,Residencial,Residencial,343421
4,164000256806,Comercial,Comercial,387264
3,164000263810,Comercial,Comercial,343415
4,164000263810,Residencial,Residencial,385705
1,164000270175,Comercial,Comercial,233954
2,164000270175,Residencial,Residencial,308004
1,164000285253,Comercial,Comercial,233958
2,164000285253,Residencial,Residencial,233957
1,164000288007,Comercial,Comercial,233960
3,164000288007,Residencial,Residencial,343284
1,164000288430,Comercial,Comercial,233962
2,164000288430,Residencial,Residencial,233963
1,164000291652,Comercial,Comercial,340385
2,164000291652,Comercial,Comercial,233967
